artist,track,label,release_date,local,genre,spins_last_week,notes
Klassik,Milwaukee Sun,Local,2026-07-14,yes,alt,0,MKE artist — local content quota
Lex Allen,Open Wide,Local,2026-07-17,yes,hip-hop,8,MKE artist — local content quota
Abby Jeanne,Neon Hymn,Local,2026-07-08,yes,hip-hop,12,MKE artist — local content quota
B~Free,Sideways,Local,2026-07-14,yes,alt,3,MKE artist — local content quota
Immortal Girlfriend,Cold Static,Local,2026-07-21,yes,electronic,4,MKE artist — local content quota
Nickel&Rose,Half Light,Local,2026-07-11,yes,electronic,1,MKE artist — local content quota
The Vanishing,Paper Radio,Sub Pop,2026-07-12,no,indie,7,
Marigold Fields,Slow Bloom,4AD,2026-07-06,no,hip-hop,3,
Static Palace,Overpass,Merge,2026-07-02,no,soul,14,
Nightjar,Tin Roof,Dead Oceans,2026-07-19,no,hip-hop,10,
Ruthie Blue,Anyhow,Anti-,2026-07-12,no,hip-hop,0,
Wide Ocean,Signal Fade,Matador,2026-07-15,no,hip-hop,4,
